Ripple,Ethereum,Litecoin,Monero,Stellar,Waves,Total
166666.67,166666.67,166666.67,166666.67,166666.67,166666.67,1000000.02
170659.165217837,176031.265081854,171093.344370984,195134.28733244,187157.095527503,169877.973853565,1069953.13138418
173190.555797077,189682.763690067,174258.654539483,186503.460764075,179352.061921259,166666.67,1069654.16671196
174790.983371872,219621.721003607,185563.333712695,188173.184705094,177838.841120049,167951.191541426,1113939.25545474
180328.89146662,215630.784926748,211385.600876767,198062.183538874,193086.089310024,171804.756165703,1170298.30628474
177774.637636311,217966.153082963,204507.596074539,192100.563552279,216346.328350855,182402.058882466,1191097.33757941
181424.898564717,222142.06881576,218001.813108668,203882.700093834,264782.667856271,181438.667726397,1271672.81616565
213737.10261387,218692.198232519,228544.913895473,238946.902855228,360230.618510407,190430.318516378,1450582.05462387
173663.539303557,197706.256266371,203650.820389833,197721.183579088,285051.862272486,166024.409229287,1223818.07104062
179246.459423846,206765.634915927,210219.433972583,211819.768123324,322426.646213497,156711.62805395,1287189.57070313
182690.951092635,215751.021703108,235613.313294302,224519.076970509,397698.319518159,186255.623506744,1442528.30608546
182543.054437285,214322.053860988,238659.626839926,238735.247707775,415100.35873208,196210.665452794,1485571.00703085
180446.780104942,215431.931796615,240991.960648294,235231.179155496,393946.239870713,199100.838921002,1465148.93049706
181170.54489658,217443.585554939,248084.159371698,247213.212225201,431887.375456621,214836.227803468,1540635.10530851
175833.404725277,214243.437507214,243705.083649864,316871.272975871,546542.61119279,238599.876319846,1735795.68637086
166147.245514788,198201.076846004,238826.222111952,327700.961353887,670870.071114474,270712.914855491,1872458.4917966
159201.818526135,200892.5308399,233923.561249465,330252.581742627,588678.288648721,273603.088323699,1786551.86933055
180137.411738922,210890.681243341,297134.567321148,325408.030589812,607323.646708081,269749.523699422,1890643.86130073
174838.138827201,218969.667716426,369460.714705126,308699.032560322,597863.804389402,280025.696030829,1949857.05422931
169568.873932508,204273.034052164,353800.759134657,288474.207359249,527693.720511044,313423.2561079,1857233.85109752
179827.328896305,238226.049899556,509781.5324004,328853.306045576,641375.539357545,360308.292369942,2258372.04896932
266886.302105577,301253.243168979,752439.445768956,362247.784865952,692205.599487098,477199.752639692,2852232.12803625
336563.488690022,324995.382008602,720167.561645009,359519.785187668,660781.932439737,438342.976011561,2840371.1259826
617495.686194212,321781.360486681,664786.533358561,382402.058351206,835842.110802007,438021.845626204,3260329.59481887
540273.626757163,316523.313766648,713456.152114808,367245.198069705,866615.358382181,420359.674431599,3224473.3235221
542031.953659649,321961.715651221,711528.406824218,384883.127024129,1027065.43415499,430314.716377649,3417785.35369185
520400.460242465,332954.131705327,758532.072860203,413162.606447721,1179697.20245487,434810.54177264,3639557.01548323
556153.583577427,367480.584486126,852824.996827074,448603.08502681,1222447.90240018,501284.531541426,3948794.68385904
565334.607834622,382362.197806326,833571.343245752,443582.15458445,1169471.90049113,510276.182331407,3904598.38629369
554408.117253667,378787.465955327,748774.349784378,551714.41769437,1116712.70507115,488439.316127168,3838836.37188606
850227.149109834,379698.490760821,755533.35796373,491486.769624665,1138012.83646597,514772.007726397,4129730.61165141
814503.319315303,312088.426515538,630515.505970298,406977.57269437,958890.854900446,402055.242466281,3525030.92186224
835937.617192022,332681.286712819,686063.129528773,449226.291849866,1036153.6082067,458253.059903661,3798314.99339384
743055.659726242,321009.070423141,656813.759625875,396336.022225201,993106.458572263,443481.062177264,3553802.03274999
800213.787397491,354157.424767203,650649.734560902,424227.467211796,1011074.84943108,458574.190289017,3698897.45365749
380.1282628359,112.4944506104,290.3898329287,154.5364752363,506.6448975258,175.1445086705,269.889737968
