,0
0,169877.97385356456
1,166666.67
2,167951.19154142585
3,171804.75616570326
4,182402.05888246628
5,181438.66772639693
6,190430.31851637765
7,166024.4092292871
8,156711.6280539499
9,186255.62350674372
10,196210.66545279385
11,199100.83892100197
12,214836.22780346827
13,238599.87631984588
14,270712.91485549137
15,273603.0883236995
16,269749.5236994221
17,280025.69603082864
18,313423.25610789994
19,360308.2923699424
20,477199.7526396919
21,438342.9760115609
22,438021.84562620445
23,420359.6744315994
24,430314.71637764946
25,434810.5417726397
26,501284.53154142585
27,510276.1823314066
28,488439.3161271677
29,514772.007726397
30,402055.24246628134
31,458253.0599036609
32,443481.062177264
33,458574.1902890174
