,0
0,48010.18929897955
1,44963.315490410474
2,47918.66868395369
3,53550.046527263316
4,74664.61508551986
5,73548.2542501524
6,68317.2790975809
7,48078.829760248955
8,45684.040333739096
9,53888.48213491102
10,62790.76862565508
11,60782.081793785546
12,78186.25208453558
13,74919.15679606053
14,71750.25550079031
15,65872.91600459871
16,71734.04872521281
17,67238.0985120677
18,65584.05406342335
19,79354.09326585506
20,85567.96169021465
21,81127.30518198099
22,89377.50729066585
23,84674.6823539727
24,110852.43827058667
25,122406.91591760081
26,234740.84414391854
27,252241.30174839357
28,260207.40861460232
29,245762.40487635494
30,169742.14068076466
31,215702.649539061
32,219441.6479987631
33,219597.99571609893
