,0
0,43908.1011882709
1,42367.11495695966
2,43167.62728491355
3,46869.99680170029
4,46529.77906231988
5,50412.263852896256
6,48090.77810182997
7,41106.308040432275
8,42607.26865534582
9,46489.753445922186
10,45028.81844740633
11,43948.12680466858
12,50512.32789389048
13,46930.035226296815
14,49551.713100345805
15,45429.074611383265
16,45969.420432752144
17,44148.25488665704
18,45028.818447406324
19,45308.99776219019
20,46249.59974753601
21,46489.753445922186
22,49691.80275773774
23,47630.483513256484
24,49191.48255276657
25,53454.210699121046
26,63920.90938711817
27,66462.53602837177
28,62059.71822462538
29,69484.47006639771
30,63280.49952475507
31,70405.05924354469
32,69484.47006639771
33,77849.82389351586
