,0
0,51369.86301780822
1,49800.228314486296
2,64212.32877226026
3,64783.10502801369
4,64069.634708321915
5,106021.6895061986
6,81335.616444863
7,75627.85388732875
8,88898.40183359587
9,91466.89498448628
10,99743.15069291093
11,104452.0548028767
12,124714.61188212328
13,208190.63928606163
14,237014.84020160956
15,217608.44750599313
16,210901.8265008904
17,195490.86759554793
18,210473.74430907532
19,211329.90869270544
20,200913.24202520546
21,205479.45207123284
22,205336.75800729447
23,205336.75800729447
24,199628.99544976023
25,195062.78540373282
26,212186.07307633557
27,207049.08677455477
28,212614.15526815064
29,205764.84019910955
30,161529.68037821914
31,162528.53882578763
32,150684.93151890408
33,162385.8447618493
