,0
0,42079.207924158414
1,59405.940598811874
2,67244.22442782177
3,63531.35314039604
4,59405.940598811874
5,58993.39934465346
6,53630.36304059406
7,47029.70297405941
8,57755.77558217821
9,63118.81188623762
10,60643.56436128712
11,59405.940598811874
12,70957.09571524752
13,75495.0495109901
14,74669.96700267326
15,72607.26073188118
16,76732.67327346532
17,98597.35974386137
18,90346.53466069304
19,94884.48845643562
20,101897.6897771287
21,115099.009910198
22,132013.20133069306
23,166254.12542584157
24,158003.30034267326
25,153465.34654693067
26,175742.57427148512
27,161303.6303759406
28,166254.1254258416
29,158415.84159683168
30,133663.36634732675
31,150990.09902198022
32,138201.32014306932
33,149752.47525950495
