,0
0,43248.94515113923
1,43143.45991906328
2,41983.122366227835
3,49472.573843620245
4,57700.421945544294
5,56645.5696247848
6,53691.98312665822
7,52004.219413443025
8,56329.113928556944
9,67827.00422483541
10,81962.02532301263
11,81223.62869848098
12,88080.16878341768
13,99894.51477592402
14,86075.94937397465
15,76265.82279091136
16,85021.09705321516
17,88924.05064002526
18,81962.02532301261
19,89029.53587210122
20,90400.84388908856
21,85443.03798151894
22,85970.46414189869
23,81223.62869848097
24,83860.7595003797
25,88185.65401549362
26,100421.94093630374
27,94831.22363627843
28,90295.3586570126
29,97257.38397402526
30,70780.59072296198
31,83860.75950037969
32,80590.71730602525
33,79430.37975318982
