,0
0,17582.79276168317
1,16152.867872671139
2,15891.908500877109
3,15517.634004469435
4,15573.335609111544
5,15264.32229399311
6,14862.939569521792
7,13188.05052892709
8,13332.451348316486
9,15471.560259164791
10,15484.158415531901
11,16439.77466679309
12,19289.86002009901
13,18607.033116732677
14,17924.20621336634
15,20143.393649306934
16,19972.68692346535
17,18777.73984257426
18,16626.95459167839
19,30897.917377326743
20,23898.941617821787
21,22703.9945369307
22,22533.287811089114
23,21679.75418188119
24,24923.18197287129
25,25093.888698712875
26,26800.95595712872
27,23557.528166138618
28,22874.701262772283
29,22703.9945369307
30,19289.86002009901
31,20484.807100990103
32,22874.701262772283
33,24581.768521188125
