,0
0,17621.760285763132
1,16897.93318308146
2,18452.314711404822
3,19018.089441433338
4,20520.426410021144
5,22132.128905057863
6,24240.05349268848
7,20865.31155702453
8,23435.641265254977
9,24023.720806598732
10,23600.169228289975
11,24401.223742192153
12,26338.624449767547
13,26405.05921035165
14,25320.757576413995
15,24192.08615652667
16,29401.099027018125
17,26904.63901647687
18,22569.111337491922
19,24189.687789718577
20,26935.577948301234
21,30618.510018804798
22,32734.58905358292
23,34474.12449949086
24,39678.82030972776
25,51040.84322637504
26,63226.22546823973
27,57683.120101381304
28,65353.81666369671
29,63414.976936036466
30,41513.57091791689
31,44823.5569497624
32,44720.90685037613
33,56322.28677447083
