,0
0,17289.343618826195
1,21954.76750868129
2,21624.386485945655
3,23549.043863247392
4,23711.191862488173
5,25536.699138708904
6,33592.19742328684
7,41447.24785008367
8,63074.497876854766
9,57242.18110063114
10,61616.59765410045
11,61043.8894890116
12,71552.72637578893
13,156046.86756957005
14,121301.37907883554
15,81022.45588553316
16,81463.79911525475
17,74645.35046726876
18,79947.91219078518
19,135179.17174674806
20,104669.576022052
21,103453.28705644455
22,94626.78040461574
23,81872.92751069009
24,95146.15512183068
25,90409.14271133949
26,100590.10417360342
27,90211.20045178065
28,84146.22098348966
29,97483.1623779964
30,73003.8256890828
31,81143.08254280497
32,86146.04630745931
33,97765.57909190582
