,0
0,18171.396519910853
1,17875.972797328785
2,17968.19418351369
3,19247.391513765677
4,20472.044229282666
5,21857.33556449609
6,30169.556505962224
7,25254.86601758512
8,28221.162963137715
9,39061.27456813898
10,43041.53383153997
11,43053.98765975982
12,43408.60647723493
13,41455.720097647565
14,37064.24803789901
15,27324.014401123535
16,33350.6425774583
17,32316.26543993307
18,28755.258786034225
19,68787.14373834494
20,93009.60316084468
21,80398.13154581489
22,76136.55764370113
23,77505.92699600059
24,70411.1071738728
25,67709.80877563101
26,75823.95079104358
27,69602.39655655902
28,62459.25903380615
29,64058.94538647508
30,47268.820295200356
31,54500.15929756084
32,57397.802544509126
33,67428.0212067327
