,0
0,19734.123396172894
1,21985.68287047219
2,20982.30658778405
3,22214.944087891457
4,22033.9801644644
5,22072.467070614442
6,21493.65418792656
7,19433.925528202573
8,22701.23746677552
9,23906.10402283741
10,22958.722415371485
11,24910.08402170046
12,28513.967727781608
13,31360.489492447436
14,45563.06343607514
15,34835.78165327433
16,33810.06787211479
17,30990.56240627586
18,27560.850816654114
19,34077.8159956841
20,39494.6593749978
21,38135.543336248295
22,38821.96862711257
23,38164.82357073107
24,38768.08695850251
25,41021.608510370235
26,46940.59281815919
27,44213.003139949185
28,46548.02637542877
29,45373.04377002455
30,34761.67549280504
31,42124.597961917316
32,48055.65659320432
33,57895.626527942026
