,0
0,20556.854831640063
1,18548.7819049796
2,17074.589659072506
3,16633.35190745601
4,16304.386539162226
5,18170.722664670517
6,16152.00531233815
7,12523.146566448726
8,13878.388367299789
9,16379.30224987972
10,16953.008462424554
11,16818.475873324092
12,21654.890073004535
13,21138.453298960645
14,18615.36015680579
15,18241.83390385508
16,19056.15270430673
17,18131.059025284696
18,15827.370565895664
19,18008.951678318364
20,19125.96880424605
21,20064.216241227663
22,20163.577705199274
23,19483.42723593536
24,21065.885028125165
25,23141.54803414717
26,26945.655309159636
27,25892.504737263393
28,22760.169999522128
29,23759.572292740442
30,18357.951231812127
31,21120.118984020057
32,23115.56430303932
33,24834.497393197467
