,0
0,19170.681407043485
1,21370.040309381384
2,26680.199831925835
3,33776.13392068576
4,36138.89155495046
5,36196.470155724666
6,33404.92551943664
7,34477.491554648506
8,35672.875977374584
9,42994.45593403342
10,44373.94823200012
11,51173.96901283105
12,50952.27344394574
13,47858.949904223664
14,41773.93324485707
15,39847.62379858148
16,35142.099437181576
17,35088.94995954385
18,31760.882893588463
19,34523.338964412585
20,36472.99108667772
21,48458.31800001673
22,38775.536587492476
23,37391.25604829717
24,38999.147452869234
25,41637.70778190271
26,43280.19422935159
27,40508.640500193076
28,40722.555177081864
29,39506.46161104198
30,33698.56441278203
31,37266.76177635293
32,36972.8834709461
33,38993.40156339489
