,0
0,18272.164631669002
1,17588.915190608688
2,18866.683652787153
3,24268.853776924887
4,35038.432874887796
5,31257.307025079757
6,27728.256231925596
7,21958.33380763553
8,25459.580722040773
9,25459.580722040773
10,24925.45888449689
11,24911.267058807272
12,25459.58072204077
13,24727.151437427285
14,23626.969852661477
15,17580.57150623345
16,21549.26640569763
17,21205.763725995403
18,19279.254898012543
19,21228.727763656567
20,20977.182064621673
21,22859.098815082463
22,26467.880948656246
23,22765.730214097865
24,24260.056357447666
25,25459.580722040766
26,29996.931741810407
27,38567.483668041954
28,34282.20770492618
29,48146.335820888984
30,35542.582988195536
31,45121.43514104256
32,62262.53899350566
33,76630.81722277618
