,0
0,17513.729028101752
1,16935.256987492005
2,16128.122726223448
3,17294.052179257447
4,19339.308708483448
5,18872.68905494393
6,18802.355282464865
7,22045.76466709413
8,22786.593081179777
9,27335.36010217158
10,27164.638037695968
11,40095.82744039966
12,41738.60128041728
13,42590.66240075835
14,50741.324157737465
15,35954.190714727185
16,42610.49218683175
17,43275.09986069778
18,42824.5919083429
19,43321.57592180731
20,45537.55451550892
21,52938.092646180485
22,49042.15936357366
23,50156.035628165
24,63272.50959449197
25,67804.23539307693
26,79096.98872146657
27,81460.14150868166
28,73822.57546635157
29,75083.31608404897
30,70916.27244496999
31,69437.71402087265
32,66708.02003170722
33,75068.44374449395
