,0
0,55191.20319284408
1,55598.668701835166
2,54365.15947916212
3,58506.49074327163
4,62175.53244014146
5,62716.350297529636
6,65035.19946687897
7,54494.80759565927
8,59758.52112544425
9,67176.24550503219
10,84726.89624684869
11,132296.6423056093
12,113566.19370366854
13,106194.77222282962
14,100153.16999406162
15,115723.9087853714
16,144350.2129079459
17,122569.32933642184
18,114373.7162578509
19,129498.09510522042
20,124034.35305283981
21,130396.37134095079
22,128271.99434634722
23,124686.29786722556
24,141998.02565149733
25,145598.53905821868
26,158309.61082279094
27,146319.01216275294
28,162099.04005640815
29,153434.84164249746
30,176102.88875405217
31,162371.3011010522
32,170327.99122207836
33,182851.9992757047
