,0
0,65436.14127789386
1,57640.585462651725
2,59649.36590075308
3,60642.99935397984
4,61764.25545257517
5,61002.53057778961
6,63989.265115543865
7,58232.75453716191
8,62411.48458265865
9,71481.07903480879
10,69458.4424237817
11,71447.16787475372
12,75880.41393872835
13,83145.42418536686
14,86130.70017860264
15,90438.14677785682
16,89558.27979707292
17,84987.56591222981
18,82327.18071048947
19,84005.60081515103
20,89056.17584657995
21,89813.52508781006
22,93971.10623778858
23,114494.28615757382
24,101496.8313171086
25,104171.80196403389
26,112935.46670342908
27,102721.27944038765
28,96262.84431247854
29,99995.62437144452
30,87911.58303568866
31,101822.45138086325
32,101417.70527698005
33,116259.48966108597
