,0
0,54017.267951138776
1,54207.0326792552
2,56102.11268112138
3,61924.488189225696
4,60885.16795338624
5,63836.4694464709
6,72472.36912532957
7,61569.133946383095
8,64840.48959196175
9,68822.7676631671
10,68192.50059548843
11,70953.60948057366
12,80721.6793298857
13,78418.61585956627
14,90983.52256419514
15,107244.24175835191
16,97104.98611052579
17,94424.5325833886
18,82299.05851861446
19,84290.19755421714
20,95867.34354890966
21,97969.73135409581
22,101039.5555747752
23,98498.59088950034
24,111107.56922207959
25,108084.81178853169
26,118218.71893782014
27,114658.54437120749
28,110747.93618040686
29,119909.91417543046
30,99010.12128964282
31,116145.64090462042
32,129431.73915206832
33,152864.58094529505
