,0
0,56652.04678645835
1,53728.07017812501
2,57017.54386250002
3,59210.526318750024
4,62500.00000312502
5,65423.97661145835
6,63596.49123125001
7,54459.06433020834
8,53728.07017812501
9,58479.532166666686
10,59941.52047083335
11,63230.99415520834
12,71271.92982812501
13,70906.43275208333
14,77119.88304479166
15,74926.90058854166
16,70175.4386
17,72368.42105625
18,63596.491231249995
19,68713.45029583333
20,76754.38596875001
21,75657.894740625
22,75292.39766458333
23,76023.39181666667
24,89181.28655416665
25,85526.31579374998
26,99780.70175937498
27,89181.28655416664
28,84429.82456562498
29,86988.30409791664
30,72368.42105624998
31,87353.80117395832
32,87353.80117395832
33,98684.21053124998
