bitswift,blitzcash,breakoutstake,bytecent,cannabis coin,eboost coin,E-gulden,Europe-coin,Evergreen-coin,Exclusive-coin,geocoin,influx coin,magi,Project-decorum,Spread-coin,syndicate,synergy,trustplus,unbreakablecoin,total
54882.1743684207,53594.229933135,61980.5942974328,55050.3899341351,55191.2031928441,51753.8557667853,65436.1412778939,54448.2245492156,54279.4988765577,56493.010741339,55358.2700118981,52128.3668958135,54017.2679511388,53717.6428719144,54206.6753167114,56836.250105833,56652.0467864584,66273.3442786985,55050.9067292238,1067350.09388545
53816.5010797135,51537.8416065968,70340.4646763659,54630.0687399776,55598.6687018352,51709.0297063575,57640.5854626517,52071.1091138329,57461.1264575354,54878.9247201578,57512.9943450348,52785.2502207955,54207.0326792552,52686.5022478456,56668.3425484727,53294.447943454,53728.070178125,61348.837429553,57147.0287132173,1059062.82657078
56480.6843014815,50847.3801020927,64134.8834414331,56577.1968513234,54365.1594791621,53530.5101618042,59649.3659007531,51683.9278532978,57702.6038329121,55954.9820676119,55109.6988503389,55355.7802672597,56102.1126811214,52580.1990907251,56148.7697833693,68264.9880739627,57017.5438625,58148.5208414452,57191.2836032488,1076845.59104584
66071.7438998463,57900.3358074726,65985.1739551591,60283.1923896225,58506.4907432716,58618.0270200313,60642.9993539798,52899.832327643,58883.1857887841,58107.0967625201,55277.6943068207,57294.9201104299,61924.4881892257,54641.59447922,61231.5749421125,68106.556906271,59210.52631875,114952.827000707,59174.2291471617,1189712.48944903
66071.7438998463,57202.7525616642,65408.7167823856,63089.9166253748,62175.5324401415,60394.1994144005,61764.2554525752,69658.4573180248,63247.0269295213,58645.1254362471,59238.3841753859,59307.6099848051,60885.1679533862,50753.5565075379,63535.2799852298,68050.8978238455,62500.000003125,94449.3214185351,60134.5965353459,1206512.54124738
67137.4171885535,58479.3391655473,65905.1743156133,64720.0361351458,62716.3502975296,58155.3063962608,61002.5305777896,67607.0622783243,65777.6445593143,77476.1290166934,58088.1242884852,60557.1688034372,63836.4694464709,49002.2119939777,65332.3423196129,67809.1971627613,65423.9766114583,86779.7682600935,61908.6009591099,1227714.84977618
69268.7637659679,61374.355955921,67957.3949539861,65974.5181291101,65035.199466879,60785.5839420064,63989.2651155439,61938.795188204,67293.4045709699,74247.9569743312,60963.7740057369,61991.6715110842,72472.3691253296,45162.0104429998,63245.6467225591,73297.0950378229,63596.49123125,77031.1474950788,62851.3752147816,1238476.81884956
61276.2141006639,53592.6666240682,61509.3320529816,57361.1744431363,54494.8075956593,51416.9373126023,58232.7545371619,52406.3703657919,58096.2865423826,57031.039415066,51415.926788529,51879.2151754666,61569.1339463831,39702.9003950411,57017.2385695024,62894.9822711253,54459.0643302083,74693.5097173347,49159.202435026,1068208.75661813
62874.7240337247,60795.3525978462,60415.6358314203,58189.7375074135,59758.5211254443,50488.1220605129,62411.4845826587,53412.5978824261,56459.0885842297,66177.5268684256,56222.1151869605,53820.9676677539,64840.4895919617,40212.2696895768,54350.1989424098,63634.327720353,53728.070178125,78020.4848317271,51293.4126440466,1107105.12752702
69801.6004103215,57900.3358074726,68232.4281975283,65258.8918342911,67176.2455050322,53662.5783398387,71481.0790348088,67110.2721107953,62980.1431507507,81242.3297327827,60388.6440622866,64576.4523709144,68822.7676631671,45259.4550036936,58372.9549798159,70741.1598511627,58479.5321666667,90479.7147952047,64964.3648412871,1246930.94985782
71400.1103433823,59058.342523622,69338.7220634779,69392.770420007,84726.8962468487,56693.8804261855,69458.4424237817,62409.8472318235,66392.9923112397,76400.0716692393,58663.2542319355,60166.3006612851,68192.5005954884,44213.2547656994,58015.4389212067,79906.2823804892,59941.5204708334,104733.176601076,63267.2623575779,1282371.0666452
74597.1302095039,60216.3492397715,71509.7467642567,74879.5332979456,132296.642305609,60541.2096125776,71447.1678747537,62960.2215107675,67797.5701722633,76400.0716692393,59813.5141188362,58737.419107799,70953.6094805737,51018.4285406965,62073.9681145677,76978.0449062658,63230.9941552083,93651.4310709256,61758.9686465033,1350862.02079806
99107.6158497695,64848.3761043693,78359.7388887727,79721.3781193346,113566.193703669,70539.8310912193,75880.4139387284,66079.304931955,74618.8398541176,83932.4731014179,68440.4632705915,66230.0217484693,80721.6793298857,52352.0902327374,68101.5293920224,93865.9746872613,71271.929828125,98253.7466458352,68932.9765166148,1474824.57723489
88450.8829626975,68901.3996108924,82867.3967395512,85267.2609409374,106194.77222283,66584.051758631,83145.4241853669,69601.8778214996,75392.2200968783,88236.7024912342,73616.6327616446,69893.1141529848,78418.6158595663,57862.5801399711,71857.7107672829,96785.6660818996,70906.4327520833,96509.71127008,105558.613702711,1536051.06631874
94844.9226949407,72954.4231174155,86643.6555869415,106062.357404218,100153.169994062,63601.9137385598,86130.7001786026,69561.9393533642,87283.3492302964,89850.7885124153,73041.5028181943,72379.8019141464,90983.5225641951,60518.3873486981,92764.103409747,95500.0289299675,77119.8830447917,105689.827866425,84201.4576949936,1609285.73540197
82056.8432304543,70059.4063270418,74775.8469907271,86720.4134432616,115723.908785371,75027.7391411438,90438.1467778568,65310.2675399695,161040.002972909,71019.7849319689,73616.6327616446,71248.6831888219,107244.241758352,50616.6911927453,93455.8614255006,116174.091097375,74926.9005885417,113493.043709287,87931.201787651,1680879.70765062
82589.6798748079,71217.4130431913,80546.0278885913,81075.9319116275,144350.212907946,81295.6755906355,89558.2797970729,66881.0696797737,121341.215695477,74785.9856480582,70165.8531009425,63084.4713826915,97104.9861105258,48602.2463653119,81960.6103113786,107372.943906273,70175.4386,112604.099305915,93455.6267690872,1638167.76788931
74064.2935651503,72954.4231174155,80888.3711736823,82262.5536380305,122569.329336422,81067.6892832986,84987.5659122298,64517.2670671028,109968.237339532,69405.6989107878,69015.5932140418,63978.3932366594,94424.5325833886,50017.8500742998,82309.0753305293,103206.182282958,72368.42105625,104987.661013335,122617.604202365,1605610.74233748
72465.7836320895,63111.3660301451,80492.5108883434,69484.2983062113,114373.716257851,70323.8948001264,82327.1807104895,60433.8915208233,105508.597741961,82318.3870802367,70165.8531009425,55939.5885881488,82299.0585186145,44964.0208128629,76319.4422184243,97954.0685523447,63596.49123125,104431.414121402,102589.727248095,1499099.29136036
75662.8034982111,60216.3492397715,85068.8580848009,88935.0543893936,129498.09510522,110338.142741333,84005.600815151,67046.4815019679,113510.449379687,81242.3297327826,73616.6327616446,59125.674600834,84290.1975542172,51217.3040304761,81878.2889524946,109641.818470974,68713.4502958333,110300.314959159,111073.06319664,1645380.90931059
92180.7394731727,64269.3727462946,90388.0065321221,98205.8864853871,124034.35305284,106497.079563388,89056.1758465799,72501.9653090778,114331.146135191,85008.5304488719,77067.4124223467,64043.2344374742,95867.3435489097,71869.3498800603,83912.4023203135,115808.800977677,76754.38596875,110726.984925584,114899.478831866,1747422.64890591
96443.4326280015,68322.3962528176,93792.6808468633,90815.3042920428,130396.371340951,150449.754813792,89813.5250878101,67908.1539519897,124055.039133229,86084.587796326,74766.8926485453,63057.5531796671,97969.7313540958,61195.6270455199,95495.7933186857,115845.176598475,75657.894740625,113915.044236954,109948.190950838,1805933.15021723
92713.5761175263,69480.4029689671,107585.722147873,90030.0500237057,128271.994346347,125736.135498598,93971.1062377886,67141.3353637895,126611.296252686,88774.7311649611,85119.2316306516,72565.2208302736,101039.555574775,60596.3429972531,91451.9181892099,119770.01843046,75292.3976645833,122001.928484307,117066.88020841,1835219.84413216
101238.962427184,71217.4130431913,98390.3612805331,88191.0465933803,124686.297867226,110504.914966151,114494.286157574,73410.232638591,122160.980105902,87698.6738175071,96621.8304996585,69845.7697841359,98498.5908895003,62442.9174224004,87880.8521209688,118635.362017863,76023.3918166667,122399.4144585,176300.418163114,1900641.71607005
104968.818937659,74691.4331916396,117700.619101946,90632.3467255205,141998.025651497,107382.514756999,101496.831317109,82313.8484682486,121421.863544782,97921.2186183208,98922.3502734599,75874.0221802761,111107.56922208,67021.4829855444,91809.434247819,127406.707495541,89181.2865541667,131285.356413151,162157.716093037,1995293.4457788
102837.472360245,73533.4264754902,113102.938668276,98205.8864853871,145598.539058219,104257.222543949,104171.801964034,88389.0441725932,118076.609402497,98459.2472920478,100072.610160361,75370.2559277921,108084.811788532,64462.2344778685,95049.7063739473,129320.37193185,85526.31579375,133486.996787096,175536.11444757,2013541.6061115
109764.348736841,82797.4802046858,119539.691275414,108026.475133926,158309.610822791,113339.078786745,112935.466703429,90943.3310902323,126975.143919639,114062.078830132,122502.677954924,81546.3209270107,118218.71893782,74261.1709152715,103074.314857629,140458.104933597,99780.701759375,156217.824656377,444362.625316609,2477115.16576245
105501.655582013,118695.688405319,114942.010841744,97094.294056259,146319.012162753,104387.844720034,102721.279440388,90647.1207848945,119173.047215019,134507.168431759,107549.299425215,79171.1853660298,114658.544371207,70616.7443453239,97105.1543347755,128637.342955785,89181.2865541666,147098.994443719,344607.750245533,2312615.42368194
107633.002159427,142434.826086383,108505.258234607,94223.6377884047,162099.040056408,98655.8929930766,96262.8443124785,84536.7570405529,112552.697897619,119980.394241129,102373.129934162,79055.0412370978,110747.936180407,70634.0186083559,98939.4983316899,121548.260374882,84429.824565625,138083.47556356,284754.825202888,2217450.36080875
111895.695314256,134328.779073336,121378.763448882,99187.945350241,153434.841642497,108760.072614016,99995.6243714445,85816.8958844825,114753.7315421,131278.996389397,113875.728803169,83129.7446343313,119909.91417543,78651.0483745267,99465.5361249779,127756.220237544,86988.3040979166,144224.371208915,299264.625213226,2314096.83850069
85253.8630965759,152277.883173653,96551.2891070651,81566.5685205085,176102.888754052,98107.8582542984,87911.5830356887,73775.2258612731,99509.4233332284,95769.1039234126,89720.2711782544,76547.8481389264,99010.1212896428,79385.4260183007,80277.3324730447,99855.8999553817,72368.42105625,117687.950752644,228529.350162827,1990208.30808503
100173.289138477,140118.812654084,125976.443882552,105080.298539364,162371.301101052,113434.032914748,101822.451380863,82332.8192406129,117339.124445265,117290.250872494,107549.299425215,88671.7276099534,116145.64090462,81586.7872303377,109018.261770563,112818.549643901,87353.8011739583,143012.651851462,284754.825202888,2296850.36898241
