,0
0,176031.26508185352
1,189682.76369006664
2,219621.72100360718
3,215630.7849267481
4,217966.1530829634
5,222142.0688157603
6,218692.19823251944
7,197706.2562663707
8,206765.63491592676
9,215751.02170310766
10,214322.05386098777
11,215431.93179661487
12,217443.58555493894
13,214243.43750721417
14,198201.0768460044
15,200892.5308399001
16,210890.68124334072
17,218969.66771642616
18,204273.03405216424
19,238226.049899556
20,301253.24316897884
21,324995.3820086015
22,321781.36048668146
23,316523.3137666482
24,321961.7156512209
25,332954.13170532737
26,367480.58448612643
27,382362.1978063262
28,378787.4659553273
29,379698.4907608212
