,0
0,171093.34437098386
1,174258.65453948308
2,185563.33371269456
3,211385.60087676707
4,204507.5960745395
5,218001.8131086677
6,228544.91389547338
7,203650.82038983292
8,210219.43397258318
9,235613.31329430244
10,238659.62683992577
11,240991.9606482936
12,248084.15937169784
13,243705.08364986436
14,238826.22211195203
15,233923.56124946455
16,297134.5673211481
17,369460.7147051264
18,353800.7591346566
19,509781.5324003998
20,752439.4457689563
21,720167.5616450094
22,664786.5333585606
23,713456.1521148079
24,711528.4068242182
25,758532.0728602028
26,852824.996827074
27,833571.3432457518
28,748774.3497843781
29,755533.3579637298
