,0
0,195134.28733243968
1,186503.4607640751
2,188173.18470509382
3,198062.18353887397
4,192100.5635522788
5,203882.70009383373
6,238946.90285522785
7,197721.18357908845
8,211819.76812332435
9,224519.07697050934
10,238735.24770777475
11,235231.17915549595
12,247213.21222520104
13,316871.2729758713
14,327700.9613538874
15,330252.5817426274
16,325408.0305898123
17,308699.0325603217
18,288474.20735924935
19,328853.3060455764
20,362247.78486595175
21,359519.7851876675
22,382402.05835120636
23,367245.19806970505
24,384883.1270241286
25,413162.6064477212
26,448603.08502680965
27,443582.1545844504
28,551714.4176943699
29,491486.76962466486
