,0
0,187157.09552750346
1,179352.06192125948
2,177838.8411200489
3,193086.08931002446
4,216346.32835085486
5,264782.6678562706
6,360230.61851040676
7,285051.862272486
8,322426.6462134969
9,397698.31951815874
10,415100.35873208044
11,393946.2398707126
12,431887.37545662123
13,546542.6111927899
14,670870.0711144741
15,588678.2886487206
16,607323.6467080815
17,597863.8043894024
18,527693.720511044
19,641375.5393575451
20,692205.599487098
21,660781.9324397369
22,835842.1108020073
23,866615.3583821814
24,1027065.434154986
25,1179697.2024548692
26,1222447.902400181
27,1169471.9004911336
28,1116712.7050711482
29,1138012.8364659664
