,0
0,46321.7707774288
1,50377.103788273984
2,48176.10893842585
3,47809.27646345116
4,48508.09232827795
5,52656.96762024167
6,50168.009277538404
7,44005.22369796364
8,43640.225385363825
9,46169.535300314295
10,45061.70122589074
11,44018.06283458775
12,54592.00892573314
13,51409.73720532772
14,52726.665790486855
15,44571.97987179953
16,48829.070743880795
17,51802.24795355064
18,52642.294321242676
19,53363.12013456794
20,52590.93777474622
21,51246.496753963984
22,63049.33163627459
23,59846.884129745566
24,110766.89998098208
25,104760.01820327155
26,138235.31570708676
27,114539.77198609678
28,132677.80371122024
29,127800.76595643176
