,0
0,42856.60177602151
1,43683.55932980835
2,50232.93690273842
3,49017.75118438755
4,49216.599756481315
5,53976.340180567364
6,56851.75365957426
7,47433.27526071962
8,48200.26261022421
9,50712.69853699642
10,53881.65038433223
11,54071.02997680249
12,57767.088356513865
13,73747.56963446326
14,185541.4993962032
15,191226.0434968524
16,160152.00869902273
17,170391.1319985818
18,238687.72569644253
19,231396.6113863373
20,266933.6919133829
21,387792.5915013663
22,412175.2140319132
23,333380.67825811735
24,315152.89248285413
25,332137.0856008959
26,373952.09961833095
27,335504.88602032553
28,366323.2583683204
29,343133.7272703361
