,0
0,42027.09228873018
1,42403.34147120948
2,54932.380641978714
3,64716.9105891489
4,161107.9073407224
5,132992.65787706038
6,128957.356092074
7,104253.25673218272
8,126026.77347994351
9,196061.8666335916
10,260639.29543858152
11,252269.80233112516
12,263376.7719671809
13,319401.56456576625
14,662245.4457969097
15,524521.8353878179
16,671036.3145464263
17,586057.9166344334
18,504009.80830561277
19,489358.3603897519
20,474706.9124738911
21,512800.67705512926
22,477637.20205706323
23,565545.8895522284
24,580197.3374680892
25,703269.4999613202
26,750154.1332920749
27,553824.7312195397
28,430752.5687263086
29,383867.93539555394
