,0
0,40966.838119520726
1,37965.34810741101
2,37940.65487868521
3,40034.1776765955
4,42894.45328692946
5,43791.96796965119
6,46001.02982355982
7,38825.121434864304
8,42888.560584619896
9,47697.00566922813
10,60344.288152358364
11,72957.26668990076
12,96808.68080006063
13,89793.55900295479
14,78569.36412758545
15,68710.031349061
16,70852.73015076901
17,80673.90066671719
18,70852.73015076901
19,74360.29104932194
20,79972.38848700661
21,79972.38848700661
22,84181.46156527012
23,84882.9737449807
24,90495.07118266537
25,94002.6320812183
26,110838.92439427233
27,148720.58209864388
28,154332.67953632856
29,169765.9474899614
