,0
0,42366.94678210084
1,43592.43697827731
2,42717.08683815125
3,46043.41737063024
4,51645.658267436964
5,55147.05882794115
6,55147.05882794115
7,42542.016810126035
8,45868.347342605026
9,47969.18767890755
10,48669.467791008385
11,49369.74790310922
12,58473.38936042014
13,59173.66947252098
14,50770.3081273109
15,59173.669472520975
16,59173.669472520975
17,55147.058827941146
18,50245.09804323527
19,57598.03922029409
20,64075.63025722686
21,61449.57983684871
22,65126.05042537812
23,81057.42297567223
24,78431.37255529409
25,82983.19328394954
26,99614.8459463445
27,101015.40617054618
28,135854.34174756298
29,195203.08124810917
