,0
0,42789.001125757575
1,42648.70931878788
2,42789.00112575757
3,45735.129072121206
4,49242.42424636363
5,53030.30303454546
6,60606.060610909095
7,48540.96521151515
8,52749.71942060605
9,57519.64085757575
10,62429.85410151515
11,74915.82492181817
12,76459.03479848485
13,73092.03143121212
14,66077.44108272727
15,57800.22447151515
16,68602.6936081818
17,66638.60831060604
18,60746.35241787877
19,64955.106626969675
20,69584.73625696969
21,69444.44445
22,83052.74972606059
23,76459.03479848483
24,84736.25140969695
25,103675.64535060604
26,113215.48822454545
27,108305.27498060605
28,112373.73738272725
29,142957.35130212118
