,0
0,41780.51002155737
1,41211.29326377049
2,41552.82331844262
3,44626.5938104918
4,49749.54463057377
5,49521.857927459016
6,48155.7377087705
7,40414.389802868856
8,49749.54463057378
9,52140.25501327869
10,58970.85610672131
11,63296.90346590164
12,76388.888895
13,72745.90164516392
14,85154.82696491801
15,80145.71949639343
16,88228.5974569672
17,91871.58470680326
18,82877.95993377047
19,83788.70674622948
20,87431.69399606554
21,87090.16394139342
22,107581.96722172126
23,103142.07651098358
24,115778.68853385242
25,113387.9781511475
26,127049.18033803273
27,115095.62842450815
28,103369.76321409832
29,128415.30055672125
