,0
0,50912.28468222348
1,49816.78755309383
2,47710.78876174977
3,50874.50891915004
4,52772.7410135902
5,59732.9253598708
6,61206.1801197348
7,51252.26654988439
8,51526.140832166806
9,55917.57328945375
10,64228.24116560969
11,80811.80115484813
12,103628.36205120353
13,89358.56755021305
14,80641.81022101767
15,76826.45815060064
16,79215.77516499546
17,78176.94168047597
18,72576.68480483908
19,81586.20429785358
20,105658.80931640073
21,96545.40647493427
22,108104.7899754057
23,100228.54337459429
24,123743.95588780826
25,155003.39983107665
26,156759.9728139914
27,152897.4010397326
28,226456.25568448097
29,236674.59959584544
