,0
0,44913.4526409501
1,42340.40722489359
2,41821.9216137485
3,70011.45126911643
4,63798.92760241639
5,64383.89566762607
6,58696.64153595526
7,47349.07514175355
8,52358.1307114069
9,56853.15867703901
10,62015.143273680565
11,65762.97048007368
12,74589.63075892844
13,84728.88339616622
14,76144.89376596703
15,66196.75395586535
16,70341.34379628238
17,71595.5944092618
18,60052.26335440341
19,72715.71715573188
20,83231.38065534117
21,84041.38116710767
22,86434.74951343276
23,82153.51206334945
24,89056.44535505839
25,97383.0335304536
26,117949.95248320354
27,120402.437880519
28,115581.20008925804
29,129590.19673640681
