,0
0,18274.599485284318
1,18224.918772826
2,20016.936732159753
3,19557.979378277363
4,27411.9223352346
5,30883.749165670655
6,26137.230790094734
7,23240.221356455488
8,30233.186012855993
9,56843.977975565045
10,51760.3701891324
11,47138.90856510272
12,48525.34705231163
13,52222.51635153537
14,45116.464529194855
15,40193.544963429726
16,46676.76240269976
17,50836.07786432647
18,60541.1472747888
19,59154.70878757989
20,65624.75506122144
21,60541.1472747888
22,60541.1472747888
23,56381.83181316208
24,57306.12413796802
25,68397.63203563925
26,109066.49432710043
27,94277.81713020545
28,93815.67096780248
29,87345.62469416094
