,0
0,17042.995486042495
1,16402.633048442884
2,16922.795860931386
3,17432.756617802937
4,17501.851282178544
5,18104.482683459308
6,17837.4539377172
7,16300.375785646513
8,16860.82606602377
9,17828.64845119862
10,18479.094591101762
11,21095.933692181574
12,20837.355373017777
13,23006.77160803808
14,60833.60309876905
15,29588.32835543241
16,28168.088594371653
17,25327.609072250147
18,24617.489191719767
19,30771.86148964971
20,34795.87414598851
21,31481.98137018009
22,32428.807877553925
23,31008.568116493167
24,34795.87414598851
25,35505.99402651889
26,39766.71330970116
27,35742.70065336235
28,40713.539817075
29,37399.64704126657
