,0
0,17730.17867971362
1,18512.341420994435
2,19849.047077125968
3,20931.572275307048
4,21346.85133840238
5,20880.484934499873
6,20996.956892991173
7,19080.76286402696
8,19361.204847286954
9,20886.76616492698
10,21082.561090526375
11,21238.096320150093
12,22517.194120078686
13,24368.182995085266
14,26531.4985754247
15,24326.18848308686
16,25060.912979332443
17,22547.04491991801
18,21923.52811285339
19,23444.423373604706
20,27461.778712301024
21,27555.099850075258
22,28466.7755806389
23,27796.658025929326
24,36697.999038536895
25,36580.330655202335
26,39928.82468527451
27,37577.909689512
28,36974.074071118994
29,40988.19906273852
