,0
0,17446.71382605604
1,17029.20988278014
2,16820.31432057152
3,17237.358774021282
4,18894.968321819128
5,19116.78703538792
6,18898.70167665651
7,16319.470410079588
8,17112.779594909243
9,18824.03457990886
10,19497.646665029206
11,20741.600496845065
12,22783.630720436773
13,22560.950463443973
14,21432.73063158697
15,18787.103085132905
16,19331.65596533635
17,19241.940576782636
18,17935.036638785685
19,18621.85905640753
20,20288.9455818695
21,21843.284791242517
22,23626.33506157641
23,22963.348678685543
24,24165.833553692322
25,27105.706897560394
26,33343.68334100046
27,36589.74921776217
28,33740.280497187014
29,33300.376424886825
