,0
0,17556.730494108368
1,16883.086042358525
2,16656.90037710577
3,18967.351383878817
4,18738.832734405845
5,19157.02489771761
6,20105.39246691155
7,17556.218375621003
8,19915.718953072763
9,18967.35138387882
10,19346.698411556397
11,19726.04543923397
12,21243.43354994428
13,22571.14814681579
14,23898.862743687307
15,22950.495174493364
16,23329.842202170938
17,23898.862743687303
18,20674.413008427906
19,19726.045439233963
20,21053.76003610548
21,22381.47463297699
22,22760.821660654565
23,23329.842202170927
24,24467.883285203654
25,24088.536257526077
26,27123.312478946686
27,38883.07033695154
28,46659.68440434185
29,44004.255210598814
