,0
0,18066.764489734043
1,17760.110968096742
2,20746.400403106716
3,20199.00953738032
4,20290.719001795216
5,23566.466433864694
6,23073.52806263464
7,20648.95909716589
8,22153.56749772274
9,24045.075201279917
10,23956.231657627988
11,24841.801173384305
12,28192.062545290886
13,34213.36206828124
14,31742.938370605043
15,40716.13627944979
16,38030.76852455119
17,37342.94754143949
18,40489.72853917552
19,42045.92351346574
20,42346.84519357711
21,42596.1802999551
22,48594.55245684173
23,52626.902970334086
24,73636.9680836336
25,78337.0781348969
26,85662.37160503655
27,76798.07868518448
28,105775.40351952787
29,115874.90828821802
