,0
0,16990.047250087464
1,16185.784658367349
2,17367.04533995627
3,17919.975871763847
4,18171.307931676383
5,17794.30984180758
6,17894.842665772594
7,14526.993062944606
8,15632.854126559763
9,18121.041519693874
10,17115.71328004373
11,16386.850306297372
12,19000.703729387755
13,20106.564793002915
14,18422.63999158892
15,16160.65145237609
16,19327.435407274053
17,18774.50487546647
18,17945.1090777551
19,18849.90449344023
20,20684.62853080175
21,23298.48195389213
22,26339.599878833822
23,25258.872021209914
24,26088.267818921286
25,28450.789182099128
26,37825.47501683674
27,41092.79179569972
28,38805.67005049563
29,50668.54327836735
