,0
0,17615.649483154848
1,19711.562452822
2,21433.2052493343
3,24115.474823610708
4,24864.015169920403
5,32149.807874001446
6,36229.35276138929
7,27334.198312742403
8,26822.69574276411
9,26997.35515690304
10,27945.506262228653
11,29916.662507510857
12,32162.283546439943
13,40271.47063146165
14,33522.13184223589
15,33035.58061713459
16,30353.311042858175
17,28818.803332923304
18,26099.10674133141
19,28993.462747062233
20,29180.597833639655
21,31725.635011092618
22,36179.45007163531
23,34046.110084652675
24,39710.065371729375
25,40458.60571803908
26,42754.12944672215
27,45324.1179690521
28,41469.13518555717
29,44014.17236301013
