,0
0,17771.883288769233
1,17639.257294076924
2,21220.159150769232
3,21352.785145461537
4,21750.663129538465
5,21352.785145461537
6,18435.013262230772
7,17241.37931
8,17639.25729407692
9,19496.021219769227
10,18700.265251615383
11,19363.39522507692
12,20424.403182615384
13,23209.549071153844
14,22811.67108707692
15,24801.06100746154
16,23872.679044615386
17,23076.92307646154
18,24403.183023384612
19,26525.198938461537
20,28514.588858846153
21,27453.58090130769
22,31167.10875269231
23,34482.75862000001
24,38196.28647138462
25,39124.66843423078
26,46949.60212107693
27,45623.342174153855
28,43766.57824846154
29,45092.83819538462
