,0
0,18663.348737628865
1,18663.348737628865
2,18130.11020226804
3,18671.428109376753
4,19342.015964451733
5,20166.111882736644
6,18824.93617258669
7,17911.967165074973
8,19010.76172278819
9,20214.58811322399
10,20392.334291677595
11,21054.84277500468
12,24512.813883102146
13,22743.431470313957
14,25595.44969731958
15,26896.228548730076
16,26047.894515201493
17,24755.195035538887
18,22711.11398332239
19,25143.004879437663
20,26661.926768041223
21,28722.1665637535
22,28180.848656644783
23,28366.67420684628
24,41931.93937155574
25,78491.09653076375
26,94989.17363995775
27,85495.91183618549
28,96556.57175904865
29,127056.20010733823
