,0
0,17626.661529217876
1,18589.86707726257
2,17915.623193631283
3,19167.790406089385
4,19456.752070502793
5,21190.52205698324
6,20323.637063743015
7,17145.058755195532
8,19167.790406089385
9,20034.67539932961
10,20227.31650893855
11,20419.95761854749
12,24754.382584748608
13,23502.215372290502
14,21094.20150217877
15,20708.919282960895
16,20612.598728156427
17,19360.43151569832
18,16952.417645586593
19,18204.584858044695
20,20034.67539932961
21,22635.330379050283
22,22924.29204346369
23,22731.65093385475
24,25332.30591357542
25,28221.9225577095
26,33037.950297932955
27,37179.734154525126
28,42670.00577837988
29,37179.73415452513
