,0
0,15501.980569857506
1,13072.54127710842
2,14533.774560440737
3,14364.738402516792
4,15438.121093316273
5,15902.430130682813
6,18963.485348564598
7,15453.005168602964
8,16339.935480603617
9,17896.52566120834
10,17925.367417054335
11,17557.341671687587
12,20689.852802875183
13,20864.13853092099
14,21075.29476911682
15,19532.97106731386
16,18727.069414135356
17,17908.75407160986
18,23143.00780064539
19,22668.50842127759
20,25856.29443786597
21,25794.967106912925
22,29185.324770556672
23,27776.03135160654
24,26377.422351845606
25,25844.189546761445
26,28617.938879856163
27,26367.108490547358
28,25236.165807352874
29,25514.393023811546
