,0
0,19263.949973859813
1,20101.434710008354
2,19645.770971845814
3,20130.251389101635
4,23993.487430044912
5,26713.06151947351
6,25173.170230426193
7,21961.911553968446
8,23219.039179412925
9,24620.250200323826
10,25185.777527529503
11,26277.209248187606
12,30271.92138749399
13,31478.619824525224
14,50166.23621651938
15,43858.985579977016
16,45416.88729345764
17,45569.97590114071
18,46108.48759169644
19,67171.67896644311
20,58625.73257284131
21,53997.0534934827
22,54681.44962194818
23,52019.50889070614
24,55915.16369562936
25,58382.591842991744
26,67065.41746228663
27,65793.8814972955
28,64248.58708091819
29,124882.48197807268
