,0
0,18183.424929081717
1,17910.565264954337
2,17567.51458641644
3,18589.710755737193
4,19240.400429867135
5,21462.483534719053
6,22550.91852169298
7,18231.009378040195
8,18522.681498732552
9,20875.50327231758
10,20623.82738280959
11,22575.73831732913
12,24209.10219320634
13,25319.037130540244
14,27363.429469181752
15,30671.734330823478
16,30089.9709681417
17,28409.4969069169
18,30372.315904486717
19,34492.08580434735
20,31656.937938495445
21,31440.199468322426
22,31001.505628256684
23,30647.86306240909
24,34882.08858036256
25,38248.25360253187
26,39181.28821300683
27,36811.23486155976
28,35826.82169323927
29,36481.62165199685
