,0
0,19245.086789965
1,19192.73128008106
2,19414.132970183484
3,20227.41813643146
4,22847.8557751988
5,23478.340347614718
6,24961.59856407242
7,20256.258035943803
8,23307.96309511105
9,24170.941626672593
10,23652.26712621221
11,25210.952772163728
12,27940.98202907796
13,28274.193791135913
14,35006.3137188394
15,36778.85831194396
16,33833.19534482978
17,32504.341513453513
18,30068.47923156515
19,29661.171112298573
20,30880.877016289673
21,30836.06424935511
22,31986.110703754865
23,35166.04239306159
24,35981.546013118204
25,37659.1407832129
26,41279.65739891582
27,39649.981231087775
28,44679.65970603978
29,45397.99504927789
