,0
0,17168.460315078843
1,16852.808252825016
2,17156.571348515612
3,17915.28556469258
4,17876.844572804792
5,18881.858546283394
6,18671.621987556897
7,17535.234933554573
8,17351.154101267188
9,17875.457526705748
10,17341.44477857388
11,16880.549174805896
12,17980.080432462197
13,18984.499957612632
14,19345.330092806747
15,18038.336368622033
16,17697.321177699978
17,18188.92994508965
18,17216.214330774495
19,18867.988085292953
20,17844.1499147559
21,18021.889964876227
22,19961.178560782195
23,20631.914424391234
24,23776.34793092355
25,26134.722598183467
26,30170.630447515512
27,32478.477006881698
28,29714.2922809301
29,36932.08388146865
