,0
0,16673.761884156378
1,16389.953171234567
2,16673.761884156378
3,17170.427131769546
4,17170.427131769546
5,17879.948914074073
6,19653.75336983539
7,22137.079607901236
8,23272.31445958848
9,26323.25812349794
10,34482.75861999999
11,50021.28565246912
12,45196.53753279835
13,41152.26337366254
14,34624.6629764609
15,26607.06683641975
16,35334.184758765434
17,34624.6629764609
18,30509.436639094645
19,39307.506739670775
20,40442.74159135802
21,42358.45040358024
22,50376.046543621385
23,45054.63317633744
24,44274.159215802465
25,44203.207037572014
26,49453.6682266255
27,43635.589611728385
28,44132.25485934155
29,51085.56832592591
