,0
0,17381.553125528455
1,17241.37931
2,17521.726941056913
3,18222.59601869919
4,19904.68180504065
5,20885.89851373984
6,21446.59377585366
7,18082.422203170732
8,17802.074572113823
9,19343.98654292683
10,19904.68180504065
11,20044.855620569106
12,22007.28903796748
13,27193.720212520322
14,27193.720212520322
15,28735.63218333333
16,25091.112979593498
17,23128.679562195124
18,21166.246144796754
19,22708.158115609767
20,30417.717969674806
21,32940.846649187006
22,33641.71572682928
23,33781.88954235774
24,37987.104008211405
25,37146.06111504067
26,39108.49453243904
27,38547.799270325224
28,36865.71348398376
29,41211.10176536588
