,0
0,16792.130491470984
1,15855.467503394393
2,16568.234031680942
3,17458.516238955697
4,18707.989515489528
5,21260.49235132164
6,19873.1246457671
7,25497.470271073445
8,32194.18946505369
9,34997.418898449105
10,39207.774665991776
11,61400.042344632864
12,59953.398753300185
13,58934.89344573694
14,65954.40623525284
15,54669.94146760914
16,58447.0633050611
17,56383.84650885376
18,48017.73118435353
19,53511.14989703764
20,59631.74907836725
21,55581.54219520759
22,58742.922770041434
23,61384.75540566901
24,66843.4405291428
25,71095.80938064048
26,89434.62451979249
27,88044.76098746834
28,83363.10993159848
29,84251.41627601394
