,0
0,18627.923799965036
1,19532.19194559441
2,19230.76923038462
3,21401.012779895107
4,21823.004581188812
5,21461.297322937062
6,22908.126355944052
7,20858.45189251748
8,20557.029177307693
9,21581.86640902098
10,22365.56546856643
11,25862.068965
12,26464.914395419575
13,29780.564262727272
14,28816.01157405594
15,28695.442487972025
16,29358.572461433567
17,27308.897998006996
18,26645.768024545454
19,27791.17434234266
20,31046.53966660839
21,34904.7504212937
22,34482.75861999999
23,37074.99397080419
24,41234.627440699296
25,42741.741016748245
26,43826.86279150349
27,40571.49746723776
28,38582.10754685314
29,38823.245719020975
