,0
0,17291.77165036326
1,18198.83377690188
2,19451.443380217122
3,20113.74271070564
4,20423.295658651357
5,21783.888848459294
6,24317.90367815449
7,20632.063925870563
8,21726.297602329854
9,22446.188178947807
10,25131.380029732773
11,26168.02246006263
12,27154.272550029225
13,29702.68519125678
14,33676.48117418789
15,35958.53430206681
16,35893.74415017119
17,32524.65625159916
18,30580.951694730684
19,32438.269382405007
20,33633.28773959081
21,36181.700380818365
22,38485.35022599582
23,40745.8066365762
24,50298.75458829645
25,48059.894895014615
26,50637.10315930689
27,54654.09257683508
28,51630.55215503967
29,62148.15347942799
