,0
0,17697.416973815794
1,17182.84769020222
2,17449.03931763041
3,18124.9522836431
4,18426.262882949966
5,20772.108410323843
6,32757.348262482665
7,21431.734316914546
8,21144.674894601925
9,24658.098994289896
10,29454.637994066725
11,29318.233871407534
12,29912.711540310265
13,32373.075454245023
14,29185.392542996906
15,35078.25423011662
16,33079.01768606702
17,30395.215675686795
18,31130.67820271115
19,33453.62005277285
20,39607.07469064444
21,41332.48504816179
22,39859.52411168533
23,36673.87708286496
24,40738.007379259056
25,41785.97785894289
26,43609.11057299219
27,39353.607328389684
28,39280.31556099071
29,46845.14569189935
