,0
0,18370.75319797199
1,18081.843598723342
2,18713.03905749238
3,19441.66737231302
4,19907.650596907613
5,21303.058544011787
6,21252.224010419646
7,18700.33042409434
8,18939.252731977387
9,20321.104803456994
10,22634.076081899253
11,24723.375412536105
12,26094.213335070748
13,24689.48572347468
14,26652.545962357726
15,23606.71015796215
16,23447.42861937345
17,23355.07921668107
18,20798.949419223085
19,22254.511564411292
20,23923.578750686476
21,26149.28407979557
22,26947.386257192127
23,26617.80903106977
24,32002.880622930206
25,36899.940692306125
26,37748.03016106828
27,34084.55477352824
28,37942.895873171474
29,45454.54545363635
