,0
0,18214.790516210363
1,20441.635330417634
2,19628.236925228153
3,20348.29452982212
4,21868.416139520497
5,22548.470543859246
6,22401.792142923437
7,18254.793716465585
8,24375.28335551431
9,25188.681760703792
10,23415.20654938902
11,26175.427366999225
12,29535.69618843774
13,29122.329785800463
14,33922.71381642691
15,61178.22759031709
16,44496.89308389017
17,40136.54425607115
18,39096.46104943542
19,41883.35066721578
20,44216.87068210363
21,43270.12827606342
22,42616.74267189482
23,42443.39547078886
24,45496.97309027069
25,44643.57148482599
26,47403.792302436195
27,44683.57468508121
28,44056.85788108275
29,46217.030694864654
