,0
0,17618.927762043793
1,18248.17518211679
2,19506.670022262777
3,27309.338031167885
4,27561.03699919708
5,26302.542159051096
6,26428.391643065697
7,22904.60609065694
8,28190.284419270083
9,28064.434935255482
10,28819.531839343075
11,27561.03699919709
12,31210.67203562045
13,35489.554492116804
14,31965.76893970804
15,27435.18751518249
16,27686.886483211685
17,27561.036999197084
18,26554.241127080295
19,26176.692675036502
20,32217.467907737235
21,32720.86584379563
22,38509.94210846716
23,36999.748300291976
24,37377.296752335766
25,42033.72766087591
26,50213.944121824825
27,44550.71734116789
28,44550.71734116789
29,66322.67807569343
