,0
0,19347.196630305345
1,18294.287970152673
2,18952.35588274809
3,18952.35588274809
4,20136.878125419844
5,20663.332455496184
6,21321.400368091603
7,21058.173203053433
8,21847.85469816794
9,24874.96709610687
10,24085.285600992367
11,24874.967096106873
12,27244.01158145038
13,31455.646222061074
14,31850.486969618323
15,29613.056066793895
16,28823.37457167939
17,27638.852329007634
18,30007.89681435115
19,33561.46354236641
20,33956.30428992367
21,33693.0771248855
22,34482.75862000001
23,34745.985785038174
24,36588.575940305345
25,37115.03027038168
26,40800.21058091603
27,45275.07238656488
28,44748.61805648854
29,44485.39089145038
