,0
0,17808.52994519737
1,17411.52450055921
2,18886.11615207237
3,19623.411977828946
4,21665.154264539473
5,21268.148819901315
6,22799.455534934204
7,19906.98729542763
8,21438.294010460526
9,22742.74047141447
10,22515.88021733552
11,23763.611614769736
12,26202.35934611842
13,30626.134300657897
14,57168.78402789474
15,41061.705988289475
16,35163.339382236845
17,32270.871142730266
18,30455.989110098686
19,31703.720507532893
20,33745.462794243416
21,32497.731396809206
22,32270.87114273026
23,30115.698728980253
24,30002.26860194078
25,31079.854808815784
26,32781.30671440789
27,30002.26860194078
28,28811.25226802631
29,28357.531759868416
