,0
0,18269.20708839241
1,17818.41025874209
2,18211.834197208467
3,19295.24626346253
4,21777.62129748234
5,21409.16901309242
6,21868.908859354146
7,19441.77415101864
8,19616.713314424826
9,23042.85177068982
10,22082.853333673156
11,22399.504914152392
12,25410.274645035326
13,27595.05360320174
14,25766.894630524002
15,27673.75214938211
16,25422.31332124299
17,22661.94805547941
18,19932.47059324292
19,23464.136645522507
20,25400.368534327314
21,24203.242572237454
22,30697.93640518217
23,29947.617311485224
24,31288.037916663994
25,30574.45398350929
26,34954.881104646745
27,47979.490497498016
28,78423.3764384808
29,71544.13289124564
