,0
0,17528.065105611375
1,18427.016198716778
2,21541.952929966246
3,21929.83881142844
4,27791.89439815798
5,25825.994335718908
6,26735.266117466323
7,20707.88838860089
8,20992.854069438596
9,26440.839805373438
10,25303.939501910594
11,25107.368608053057
12,30857.33004869855
13,32731.108408814507
14,29045.28469657092
15,28605.222000307458
16,26685.000541302463
17,26729.34127769036
18,23601.59924757025
19,25008.270884703405
20,31711.65371962046
21,32538.168868368055
22,32317.994177338514
23,31613.416053657627
24,34863.66848043566
25,37684.27446152412
26,44018.97936328495
27,43132.929130982055
28,42354.386072033434
29,54737.30120380746
