,0
0,17519.46607306452
1,16129.032257741937
2,15850.94549467742
3,16592.510196182797
4,16592.510196182797
5,16407.119020806455
6,20114.942528333337
7,17519.466073064523
8,20300.333703709683
9,23173.89692204302
10,24008.15721123657
11,25769.37337731184
12,29847.97923559141
13,41342.23210892474
14,36985.53948758065
15,36243.974786075276
16,34111.976269247316
17,36614.75713682796
18,35595.10567225807
19,38190.58212752689
20,40693.36299510753
21,37449.017426021506
22,36614.75713682796
23,35131.62773381721
24,34204.671856935485
25,33741.193918494624
26,37727.10418908602
27,33463.1071554301
28,31053.02187553763
29,31701.89098935483
